id,parent__id,topLevel__id,partOfCommunityDegree,instanceOfs__taxonomyID,isFormalOrganization,isResearchInstitution,isUniversity,isWorkingGroup,isDepartment,category,label.fullName.de,label.fullName.en,label.short.de,label.short.en,tagline.en,tagline.de,description.de,description.en,hasHeads.literal,hasHeads.contact__contactsIDs,location.country.code,location.city,location.coords.lat,location.coords.lng,links.homepage.de,links.homepage.en,links.rorId,uniquePeopleCount.professor.physicist.female,uniquePeopleCount.professor.physicist.male,uniquePeopleCount.professor.physicist.nonbinary,uniquePeopleCount.professor.engineer.female,uniquePeopleCount.professor.engineer.male,uniquePeopleCount.professor.engineer.nonbinary,uniquePeopleCount.professor.other.female,uniquePeopleCount.professor.other.male,uniquePeopleCount.professor.other.nonbinary,uniquePeopleCount.seniorResearcher.physicist.female,uniquePeopleCount.seniorResearcher.physicist.nonbinary,uniquePeopleCount.seniorResearcher.physicist.male,uniquePeopleCount.seniorResearcher.other.female,uniquePeopleCount.seniorResearcher.other.nonbinary,uniquePeopleCount.seniorResearcher.other.male,uniquePeopleCount.seniorResearcher.engineer.nonbinary,uniquePeopleCount.seniorResearcher.engineer.male,uniquePeopleCount.seniorResearcher.engineer.female,uniquePeopleCount.postDoc.physicist.female,uniquePeopleCount.postDoc.physicist.nonbinary,uniquePeopleCount.postDoc.physicist.male,uniquePeopleCount.postDoc.other.nonbinary,uniquePeopleCount.postDoc.other.male,uniquePeopleCount.postDoc.other.female,uniquePeopleCount.postDoc.engineer.nonbinary,uniquePeopleCount.postDoc.engineer.male,uniquePeopleCount.postDoc.engineer.female,uniquePeopleCount.phdStudent.physicist.female,uniquePeopleCount.phdStudent.physicist.nonbinary,uniquePeopleCount.phdStudent.physicist.male,uniquePeopleCount.phdStudent.other.nonbinary,uniquePeopleCount.phdStudent.other.male,uniquePeopleCount.phdStudent.other.female,uniquePeopleCount.phdStudent.engineer.nonbinary,uniquePeopleCount.phdStudent.engineer.male,uniquePeopleCount.phdStudent.engineer.female,uniquePeopleCount.masterStudent.physicist.female,uniquePeopleCount.masterStudent.physicist.nonbinary,uniquePeopleCount.masterStudent.physicist.male,uniquePeopleCount.masterStudent.other.nonbinary,uniquePeopleCount.masterStudent.other.male,uniquePeopleCount.masterStudent.other.female,uniquePeopleCount.masterStudent.engineer.nonbinary,uniquePeopleCount.masterStudent.engineer.male,uniquePeopleCount.masterStudent.engineer.female,uniquePeopleCount.bachelorStudent.physicist.female,uniquePeopleCount.bachelorStudent.physicist.nonbinary,uniquePeopleCount.bachelorStudent.physicist.male,uniquePeopleCount.bachelorStudent.other.nonbinary,uniquePeopleCount.bachelorStudent.other.male,uniquePeopleCount.bachelorStudent.other.female,uniquePeopleCount.bachelorStudent.engineer.male,uniquePeopleCount.bachelorStudent.engineer.nonbinary,uniquePeopleCount.bachelorStudent.engineer.female,uniquePeopleCountSum.female,uniquePeopleCountSum.male,uniquePeopleCountSum.nonbinary,uniquePeopleCountSum.physicist,uniquePeopleCountSum.engineer,uniquePeopleCountSum.total,uniquePeopleCountSum.other,uniquePeopleCountSum.professor,uniquePeopleCountSum.seniorResearcher,uniquePeopleCountSum.postDoc,uniquePeopleCountSum.phdStudent,uniquePeopleCountSum.masterStudent,uniquePeopleCountSum.bachelorStudent,uniquePeopleCountRecursiveSum.total,uniquePeopleCountRecursiveSum.professor,uniquePeopleCountRecursiveSum.seniorResearcher,uniquePeopleCountRecursiveSum.postDoc,uniquePeopleCountRecursiveSum.phdStudent,uniquePeopleCountRecursiveSum.masterStudent,uniquePeopleCountRecursiveSum.bachelorStudent,uniquePeopleCountRecursiveSum.physicist,uniquePeopleCountRecursiveSum.engineer,uniquePeopleCountRecursiveSum.other,uniquePeopleCountRecursiveSum.female,uniquePeopleCountRecursiveSum.male,uniquePeopleCountRecursiveSum.nonbinary,review.status__id,review.log,review.reviewer__contactsID
community/gsi/acc/aph/hc,community/gsi/acc/aph,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Hochstrom-Gruppe,Group: High current group,ACC/IOS/HC,ACC/IOS/HC,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/aph/ope,community/gsi/acc/aph,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Betriebsleitung,Group: Operation Department,ACC/OPE,ACC/OPE,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/bco,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: Strahlkühlung,Department Vacuum systems,ACC/BCO,ACC/BCO,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/strahlkuehlung,https://www.gsi.de/en/work/accelerator_operations/departments/beam_cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/bea,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: Strahldiagnose,Department Beam Diagnostics,ACC/BEA,ACC/BEA,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/beam_instrumentation,https://www.gsi.de/en/work/project_management_fair/commons/beam_instrumentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/cry,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung:  Kryogenik,Department Cryogenics,ACC/CRY,ACC/CRY,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/cryogenics,https://www.gsi.de/en/work/project_management_fair/commons/cryogenics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/dec,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: Decceleratoren ,Department Decelerators,ACC/DEC,ACC/DEC,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/deceleratoren,https://www.gsi.de/en/work/accelerator_operations/departments/decelerators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/eps,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: Elektrische Energiesysteme,Department Electric power systems,ACC/EPS,ACC/EPS,<to be set>,<to be translated>,,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/ios,community/gsi/acc,community/gsi,full,/g/organization/formal-organization/sub-department,false,false,false,false,false,hgf,Abteilung: Ionenquellen,Department Ion source department,ACC/IOS,ACC/IOS,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ionenquellen,https://www.gsi.de/en/work/accelerator_operations/departments/ion_sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/lin,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: Linac,Department Linac,ACC/LIN,ACC/LIN,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/lrf,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: UNILAC RF,Department UNILAC RF,ACC/LRF,ACC/LRF,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/ncm,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: NC Magnete & Alignment,Department NC Magnets & Alignment,ACC/NCM,ACC/NCM,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/engineering/nc_magnets_alignment,https://www.gsi.de/en/work/project_management_fair/commons/engineering/nc_magnets_and_alignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/ope,community/gsi/acc,community/gsi,full,/g/organization/formal-organization/sub-department,false,false,false,false,false,hgf,Abteilung: Betrieb,Department Operation,ACC/OPE,ACC/OPE,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/ope/acc,community/gsi/acc/ope,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: FAIR Commissioning & Operation,Group: Operation,ACC/OPE,ACC/OPE,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/ope/aps,community/gsi/acc/ope,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Application Support,Group: Application Support,APS,APS,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/ope/tsu,community/gsi/acc/ope,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Technical Support ,Group: Technical Support ,TSU,TSU,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/ope/mitarbeiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/pli,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: p-Linac/p-bar-Target,Department p-linac/p-bar-target,ACC/PLI,ACC/PLI,<to be set>,<to be translated>,,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/psu,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: Post Stripper Upgrade,Department Post Stripper Upgrade,ACC/PSU,ACC/PSU,<to be set>,<to be translated>,,,"","",,,,,,https://www.gsi.de/work/beschleunigerbetrieb/abteilungen/unilac_post_stripper_upgrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/rhv,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: Ring HV,Department Ring HV,ACC/RHV,ACC/RHV,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/sis100sis18_sis/ring_hv_rhv,https://www.gsi.de/en/work/project_management_fair/sis100sis18_sis/ring_hv_rhv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/rrf,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: Ring RF Systeme,Department Ring RF Systems,ACC/RRF,ACC/RRF,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/en/work/accelerator_operations/departments/ion_sources,https://www.gsi.de/en/work/project_management_fair/sis100sis18_sis/ring_rf_systems_rrf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/scm,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: SC Magnets & Testing ,Department SC Magnets & Testing,ACC/SCM,ACC/SCM,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/sis100sis18_sis/sc_magnets_testing_scm,https://www.gsi.de/en/work/project_management_fair/sis100sis18_sis/sc_magnets_testing_scm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/sis,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: SIS100/SIS18,Department SIS100/SIS18,ACC/SIS,ACC/SIS,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/sis100sis18_sis,https://www.gsi.de/en/work/project_management_fair/sis100sis18_sis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/str,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: Speicherringe,Department Storage Rings,ACC/STR,ACC/STR,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/accelerator_operations/departments/storage_rings,https://www.gsi.de/en/work/accelerator_operations/departments/storage_rings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/sys,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: System Design SIS100/SIS18,Department System Design SIS100/SIS18,ACC/SYS,ACC/SYS,<to be set>,<to be translated>,,,"","",,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/sis100sis18_sis,https://www.gsi.de/en/work/gesamtprojektleitung_fair/sis100sis18_sis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
community/gsi/acc/vac,community/gsi/acc,community/gsi,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: Vakuumsysteme,Department: Vacuum systems,ACC/VAC,ACC/VAC,<to be set>,<to be translated>,,,"","",,,,,,https://www.gsi.de/work/gesamtprojektleitung_fair/commons/vacuum_systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aßmann.ralph
hgf,,,none,/g/organization/consortium,false,false,false,false,false,hgf,Helmholtz-Gemeinschaft Deutscher Forschungszentren,Helmholtz Association of German Research Centres,HGF,HGF,<to be set>,<to be translated>,,,"","",DE,Berlin,52.52437,13.41053,http://www.helmholtz.de/en/,http://www.helmholtz.de/en/,https://ror.org/0281dp749,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,01: preparation,,
community/hij,community/,,partial,"/g/organization/research-institution,/g/organization/formal-organization",true,true,false,false,false,hgf-university,Helmholtz-Institut Jena,Helmholtz Institute Jena,HIJ,HIJ,"Focuses on laser plasma accelerators; collaborates with European XFEL, FAIR, and FLASH-based facilities.",<to be translated>,,,"","",DE,Jena,50.934556,11.580699,https://www.hi-jena.de/en/,https://www.hi-jena.de/en/,https://ror.org/02rzw6h69,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/him,community/,,partial,"/g/organization/research-institution,/g/organization/formal-organization",true,true,false,false,false,hgf-university,Helmholtz-Institut Mainz,Helmholtz Institute Mainz,HIM,HIM,"Advances superconducting accelerator R&D; operates MAMI, MESA (under construction).",<to be translated>,,,"","",DE,Mainz,49.992315,8.238344,https://hi-mainz.de,https://hi-mainz.de,https://ror.org/024thra40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/him/acid,community/him,community/him,full,/g/organization/working-group,false,false,false,true,false,hgf-university,Abteilung: Accelerator Design and Integrated Detectors,Section: Accelerator Design and Integrated Detectors,HIM/ACID,HIM/ACID,<to be set>,<to be translated>,,,"","",,,,,https://www.hi-mainz.de/research/research-sections/acid-accelerator-integrated-detector,https://www.hi-mainz.de/research/research-sections/acid-accelerator-integrated-detector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,aulenbacher.kurt
community/hu-berlin,community/,,full,"/g/organization/university,/g/organization/formal-organization",true,false,true,false,false,university,Humboldt-Universität zu Berlin,Humboldt University of Berlin ,HU Berlin,HU Berlin,Researches accelerator science; based in Adlershof campus with access to joint Berlin scientific facilities.,<to be translated>,,,"","",DE,Berlin,52.52437,13.41053,https://www.hu-berlin.de/?set_language=en&cl=en,https://www.hu-berlin.de/?set_language=en&cl=en,https://ror.org/01hcx6992,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
community/hzb,community/,,partial,"/g/organization/research-institution,/g/organization/formal-organization",true,true,false,false,false,hgf,Helmholtz-Zentrum Berlin für Materialien und Energie,Helmholtz-Zentrum Berlin,HZB,HZB,Develops superconducting accelerator tech; operates BESSY II synchrotron (Berlin).,<to be translated>,,,"","",DE,Berlin,52.52437,13.41053,https://www.helmholtz-berlin.de/,https://www.helmholtz-berlin.de/,https://ror.org/02aj13c28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,21,45,30,66,0,0,76,81,5,60,55,0,01: preparation,,
community/hzb/be,community/hzb,community/hzb,full,/g/organization/formal-organization/department,false,false,false,false,true,hgf,Bereich: Bechleuniger,Division: Accelerators,BE,BE,<to be set>,<to be translated>,,,"","",,,,,https://www.helmholtz-berlin.de/forschung/oe/be/index_de.html,https://www.helmholtz-berlin.de/forschung/oe/be/index_de.html,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,18,39,18,66,0,0,66,70,5,52,48,0,01: preparation,,jankowiak.andreas
community/hzb/be/ahbb,community/hzb/be,community/hzb,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: Hochbrillante Elektonenstrahlen,Department: High Brightness Beams,HBB,HBB,<to be set>,<to be translated>,,,"","",,,,,https://www.helmholtz-berlin.de/forschung/oe/be/high-brightness-beams/index_en.html,https://www.helmholtz-berlin.de/forschung/oe/be/high-brightness-beams/index_en.html,,1,,,1,1,,,,,1,1,1,,,,1,1,1,1,1,1,,,,1,1,1,5,5,5,,,,5,5,5,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,16,15,0,22,23,45,0,3,6,6,30,0,0,45,3,6,6,30,0,0,22,23,0,16,15,0,01: preparation,,jankowiak.andreas
community/hzb/be/apt,community/hzb/be,community/hzb,full,/g/organization/working-group,false,false,false,true,false,hgf,Abteilung: Protonentherapie,Department: Protons for Therapy,PT,PT,<to be set>,<to be translated>,,,Prof. Dr. Andrea Denker,"",,,,,https://www.helmholtz-berlin.de/forschung/oe/be/protonentherapie/index_en.html,https://www.helmholtz-berlin.de/forschung/oe/be/protonentherapie/index_en.html,,1,,,1,1,,,,,2,2,2,,,,2,2,2,0,0,0,,,,0,0,0,1,1,1,,,,1,1,1,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,8,7,0,10,11,21,0,3,12,0,6,0,0,21,3,12,0,6,0,0,10,11,0,8,7,0,01: preparation,,jankowiak.andreas
community/hzb/be/ia,community/hzb/be,community/hzb,full,/g/organization/formal-organization/sub-department,false,false,false,false,false,hgf,"Abteilung: Beschleuniger - Betrieb, Entwicklung und Technologie","Department: Accelerator Operation, Development and Technology - Operation BESSY II / MLS",IA,IA,<to be set>,<to be translated>,,,"","",,,,,https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/index_en.html,https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/index_en.html,,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,5,5,15,5,6,9,0,0,0,0,21,6,15,0,0,0,0,8,8,5,8,8,0,01: preparation,,jankowiak.andreas
community/hzb/be/ia/aot,community/hzb/be/ia,community/hzb,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Beschleunigerbetrieb und -technologie,Group: Accelerator Operation and Technology,AOT,AOT,<to be set>,<to be translated>,,,Dr. Andreas Schälicke,"",,,,,https://www.helmholtz-berlin.de/forschung/oe/be/operation-accelerator/index_en.html,https://www.helmholtz-berlin.de/forschung/oe/be/operation-accelerator/index_en.html,,0,,,0,0,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,jankowiak.andreas
community/hzb/be/ia/ard,community/hzb/be/ia,community/hzb,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Beschleunigerforschung und -entwicklung,Group: Accelerator Operation and Technology,ARD,ARD,<to be set>,<to be translated>,,,"","",,,,,https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/index_en.html,https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/index_en.html,,0,,,0,0,,,,,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,jankowiak.andreas
community/hzb/be/ia/hp,community/hzb/be/ia,community/hzb,full,/g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Hochbrillante Photonenstrahlen,Group: High Brightness Photon Beams,HBPB,HBPB,<to be set>,<to be translated>,,,"","",,,,,https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/gia-hbpb/index_en.html,https://www.helmholtz-berlin.de/forschung/oe/be/accelerator/gia-hbpb/index_en.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,jankowiak.andreas
